Country/Territory,Rank,Total(Year),Male(Year),Female (Year)
Marshall Islands,173,22.9,22.8,23.0
Mauritania,190,20.5,19.5,21.4
Mauritius,77,35.3,34.2,36.3
Mexico,133,28.3,27.2,29.4
Federated States of Micronesia,158,25.1,24.4,25.8
Moldova,71,36.7,34.9,38.6
Monaco,1,53.1,51.7,54.5
Mongolia,135,28.3,27.5,29.2
Montenegro,45,40.7,39.9,41.8
Montserrat,94,33.2,32.6,33.7
Morocco,125,29.3,28.6,29.9
Mozambique,222,17.2,16.6,17.8
Namibia,185,21.2,20.4,21.9
Nauru,150,26.4,27.0,25.7
Nepal,166,24.1,22.8,25.3
Netherlands,24,42.6,41.5,43.6
New Caledonia,101,32.0,31.3,32.7
New Zealand,63,37.9,37.1,38.8
Nicaragua,154,25.7,24.8,26.6
Nigeria,213,18.4,18.3,18.5
Niger,230,15.4,15.3,15.5
Northern Mariana Islands,93,33.6,32.8,34.4
Norway,57,39.2,38.4,40.0
Oman,153,25.6,26.6,24.2
Pakistan,168,23.8,23.7,23.8
Palau,88,33.4,32.7,35.0
Panama,126,29.2,28.8,29.6
Papua New Guinea,171,23.1,23.2,23.1
Paraguay,139,28.2,28.0,28.5
Peru,140,28.0,27.2,28.8
Philippines,169,23.5,23.1,24.0
Poland,46,40.7,39.0,42.4
Portugal,31,42.2,40.2,44.4
Puerto Rico,38,41.5,39.5,43.2
Qatar,90,33.2,34.3,28.1
Romania,42,41.1,39.7,42.6
Russia,53,39.6,36.6,42.5
Rwanda,203,19.0,18.3,19.8
Saint Barthelemy,12,44.1,44.1,44.2
"Saint Helena, Ascension, and Tristan da Cunha",34,41.9,42.0,41.9
Saint Kitts and Nevis,82,35.0,35.2,34.8
Saint Lucia,84,34.8,33.7,36.0
Saint Martin,98,32.5,31.6,33.4
Saint Pierre and Miquelon,4,46.5,46.0,47.0
Saint Vincent and the Grenadines,91,33.6,33.8,33.4
Samoa,164,24.4,24.1,24.6
San Marino,9,44.4,43.3,45.4
Sao Tome and Principe,215,18.4,18.0,18.8
Saudi Arabia,145,27.5,28.2,26.7
Senegal,207,18.8,18.0,19.7
Serbia,25,42.6,40.9,44.3
Seychelles,76,35.4,34.9,36.0
Sierra Leone,204,19.0,18.4,19.6
Singapore,83,34.6,34.5,34.7
Sint Maarten,43,41.0,39.9,42.0
Slovakia,49,40.5,38.8,42.3
Slovenia,7,44.5,42.8,46.2
Solomon Islands,179,22.5,22.3,22.8
Somalia,217,18.1,18.3,17.9
South Africa,146,27.1,26.9,27.3
South Sudan,223,17.3,17.2,17.5
Spain,23,42.7,41.5,43.9
Sri Lanka,96,32.8,31.5,34.0
Sudan,198,19.9,19.7,20.1
Suriname,121,29.8,29.4,30.2
Sweden,41,41.2,40.2,42.2
Switzerland,27,42.4,41.4,43.4
Syria,161,24.3,23.9,24.8
Taiwan,47,40.7,40.0,41.5
Tajikistan,160,24.5,23.9,25.1
Tanzania,220,17.7,17.5,18.0
Thailand,66,37.7,36.6,38.7
Timor-Leste,206,18.9,18.3,19.6
Togo,194,19.8,19.5,20.1
Tonga,176,23.0,22.5,23.4
Trinidad and Tobago,75,36.0,35.6,36.6
Tunisia,97,31.6,31.0,32.2
Turkey,110,30.9,30.5,31.4
Turkmenistan,142,27.9,27.5,28.4
Turks and Caicos Islands,92,33.3,33.6,33.0
Tuvalu,155,25.7,24.7,26.9
Uganda,229,15.8,15.7,15.9
Ukraine,48,40.6,37.4,43.7
United Arab Emirates,113,30.3,32.1,25.0
United Kingdom,50,40.5,39.3,41.7
United States,61,38.1,36.8,39.4
Uruguay,78,35.0,33.1,36.7
Uzbekistan,132,28.6,28.0,29.2
Vanuatu,181,22.0,21.6,22.4
Venezuela,134,28.3,27.6,29.0
Vietnam,114,30.5,29.4,31.7
Virgin Islands,44,41.0,39.9,41.9
Wallis and Futuna,104,32.2,31.3,33.4
West Bank,186,21.1,20.9,21.3
Western Sahara,183,21.1,20.9,21.3
World,115,30.4,29.6,31.1
Yemen,202,19.5,19.3,19.6
Zambia,226,16.8,16.6,16.9
Zimbabwe,189,20.0,19.6,20.4
